id,name,primary_attr,attack_type,roles
42,Wraith King,str,Melee,"Carry, Support, Durable"
43,Death Prophet,all,Ranged,"Carry, Pusher, Nuker"
44,Phantom Assassin,agi,Melee,"Carry, Escape"
45,Pugna,int,Ranged,"Nuker, Pusher"
46,Templar Assassin,agi,Ranged,"Carry, Escape"
47,Viper,agi,Ranged,"Carry, Durable, Initiator"
48,Luna,agi,Ranged,"Carry, Nuker, Pusher"
49,Dragon Knight,str,Melee,"Carry, Pusher, Durable"
50,Dazzle,all,Ranged,"Support, Nuker, Disabler"
51,Clockwerk,str,Melee,"Initiator, Disabler, Durable"
52,Leshrac,int,Ranged,"Carry, Support, Nuker"
53,Nature's Prophet,all,Ranged,"Carry, Pusher, Escape"
54,Lifestealer,str,Melee,"Carry, Durable, Escape"
55,Dark Seer,int,Melee,"Initiator, Escape, Disabler"
56,Clinkz,agi,Ranged,"Carry, Escape, Pusher"
57,Omniknight,str,Melee,"Support, Durable, Nuker"
58,Enchantress,int,Ranged,"Support, Pusher, Durable"
59,Huskar,str,Ranged,"Carry, Durable, Initiator"
60,Night Stalker,str,Melee,"Carry, Initiator, Durable"
61,Broodmother,agi,Melee,"Carry, Pusher, Escape"
62,Bounty Hunter,agi,Melee,"Escape, Nuker"
63,Weaver,agi,Ranged,"Carry, Escape"
64,Jakiro,int,Ranged,"Support, Nuker, Pusher"
65,Batrider,all,Ranged,"Initiator, Disabler, Escape"
66,Chen,int,Ranged,"Support, Pusher"
67,Spectre,all,Melee,"Carry, Durable, Escape"
68,Ancient Apparition,int,Ranged,"Support, Disabler, Nuker"
69,Doom,str,Melee,"Carry, Disabler, Initiator"
70,Ursa,agi,Melee,"Carry, Durable, Disabler"
71,Spirit Breaker,str,Melee,"Carry, Initiator, Disabler"
72,Gyrocopter,agi,Ranged,"Carry, Nuker, Disabler"
73,Alchemist,str,Melee,"Carry, Support, Durable"
74,Invoker,int,Ranged,"Carry, Nuker, Disabler"
75,Silencer,int,Ranged,"Carry, Support, Disabler"
76,Outworld Destroyer,int,Ranged,"Carry, Nuker, Disabler"
77,Lycan,str,Melee,"Carry, Pusher, Durable"
78,Brewmaster,all,Melee,"Carry, Initiator, Durable"
79,Shadow Demon,int,Ranged,"Support, Disabler, Initiator"
80,Lone Druid,agi,Ranged,"Carry, Pusher, Durable"
81,Chaos Knight,str,Melee,"Carry, Disabler, Durable"
82,Meepo,agi,Melee,"Carry, Escape, Nuker"
83,Treant Protector,str,Melee,"Support, Initiator, Durable"
84,Ogre Magi,str,Melee,"Support, Nuker, Disabler"
85,Undying,str,Melee,"Support, Durable, Disabler"
86,Rubick,int,Ranged,"Support, Disabler, Nuker"
87,Disruptor,int,Ranged,"Support, Disabler, Nuker"
88,Nyx Assassin,all,Melee,"Disabler, Nuker, Initiator"
89,Naga Siren,agi,Melee,"Carry, Support, Pusher"
90,Keeper of the Light,int,Ranged,"Support, Nuker, Disabler"
91,Io,all,Ranged,"Support, Escape, Nuker"
92,Visage,all,Ranged,"Support, Nuker, Durable"
93,Slark,agi,Melee,"Carry, Escape, Disabler"
94,Medusa,agi,Ranged,"Carry, Disabler, Durable"
95,Troll Warlord,agi,Ranged,"Carry, Pusher, Disabler"
96,Centaur Warrunner,str,Melee,"Durable, Initiator, Disabler"
97,Magnus,all,Melee,"Initiator, Disabler, Nuker"
98,Timbersaw,str,Melee,"Nuker, Durable, Escape"
99,Bristleback,str,Melee,"Carry, Durable, Initiator"
100,Tusk,str,Melee,"Initiator, Disabler, Nuker"
101,Skywrath Mage,int,Ranged,"Support, Nuker, Disabler"
102,Abaddon,all,Melee,"Support, Carry, Durable"
103,Elder Titan,str,Melee,"Initiator, Disabler, Nuker"
104,Legion Commander,str,Melee,"Carry, Disabler, Initiator"
105,Techies,all,Ranged,"Nuker, Disabler"
106,Ember Spirit,agi,Melee,"Carry, Escape, Nuker"
107,Earth Spirit,str,Melee,"Nuker, Escape, Disabler"
108,Underlord,str,Melee,"Support, Nuker, Disabler"
109,Terrorblade,agi,Melee,"Carry, Pusher, Nuker"
110,Phoenix,str,Ranged,"Support, Nuker, Initiator"
111,Oracle,int,Ranged,"Support, Nuker, Disabler"
112,Winter Wyvern,int,Ranged,"Support, Disabler, Nuker"
113,Arc Warden,all,Ranged,"Carry, Escape, Nuker"
114,Monkey King,agi,Melee,"Carry, Escape, Disabler"
119,Dark Willow,int,Ranged,"Support, Nuker, Disabler"
120,Pangolier,all,Melee,"Carry, Nuker, Disabler"
121,Grimstroke,int,Ranged,"Support, Nuker, Disabler"
123,Hoodwink,agi,Ranged,"Support, Nuker, Escape"
126,Void Spirit,all,Melee,"Carry, Escape, Nuker"
128,Snapfire,all,Ranged,"Support, Nuker, Disabler"
129,Mars,str,Melee,"Carry, Initiator, Disabler"
131,Ringmaster,int,Ranged,"Support, Nuker, Escape"
135,Dawnbreaker,str,Melee,"Carry, Durable"
136,Marci,all,Melee,"Support, Carry, Initiator"
137,Primal Beast,str,Melee,"Initiator, Durable, Disabler"
138,Muerta,int,Ranged,"Carry, Nuker, Disabler"
145,Kez,agi,Melee,"Carry, Escape, Disabler"
